id,nombre,apellido,username,email,direccion,tarjeta,tipo
1,Silas,Elcomb,selcomb0,selcomb0@umn.edu,78 Mosinee Street,16,Comprador
2,Sandie,Lidster,slidster1,slidster1@mlb.com,5609 Ramsey Court,16,Vendedor
3,Gabbie,Erdes,gerdes2,gerdes2@blinklist.com,5922 Chive Lane,16,Vendedor
4,Reinhold,Penwarden,rpenwarden3,rpenwarden3@csmonitor.com,14 Everett Avenue,16,Comprador
5,Torrance,Burner,tburner4,tburner4@umn.edu,92195 Union Terrace,16,Comprador
6,Licha,Joscelin,ljoscelin5,ljoscelin5@ocn.ne.jp,7 Crescent Oaks Street,16,Vendedor
7,Freddi,Conyard,fconyard6,fconyard6@goodreads.com,62684 Clemons Drive,16,Vendedor
8,Cordie,Fonzo,cfonzo7,cfonzo7@mac.com,97089 Dixon Trail,16,Vendedor
9,Conney,Brandle,cbrandle8,cbrandle8@t-online.de,4 Merchant Plaza,16,Comprador
10,Leonid,Yabsley,lyabsley9,lyabsley9@psu.edu,33 Corry Street,16,Vendedor
11,Saunders,Payfoot,spayfoota,spayfoota@oakley.com,34256 Golden Leaf Drive,16,Comprador
12,Maurine,Britto,mbrittob,mbrittob@csmonitor.com,72984 Arkansas Place,16,Comprador
13,Gustave,Danilov,gdanilovc,gdanilovc@gmpg.org,170 Barnett Park,16,Vendedor
14,Bamby,Rays,braysd,braysd@smh.com.au,30 Scott Point,16,Comprador
15,Valerye,Durn,vdurne,vdurne@sakura.ne.jp,8221 Superior Parkway,16,Comprador
16,Vaughn,Alexsandrev,valexsandrevf,valexsandrevf@delicious.com,18 Sunnyside Parkway,16,Vendedor
17,Andi,Kopta,akoptag,akoptag@topsy.com,7 Elka Pass,16,Comprador
18,Idelle,Cannell,icannellh,icannellh@hhs.gov,3527 Talmadge Crossing,16,Vendedor
19,Kaylyn,Argent,kargenti,kargenti@sun.com,4546 Nova Point,16,Comprador
20,Baxie,Willbourne,bwillbournej,bwillbournej@blogtalkradio.com,3466 Hoepker Park,16,Comprador
21,Eward,Turn,eturnk,eturnk@google.es,77 Crowley Parkway,16,Comprador
22,Paolo,Kennsley,pkennsleyl,pkennsleyl@xrea.com,9160 Melody Terrace,16,Vendedor
23,Hetty,Sargant,hsargantm,hsargantm@craigslist.org,70041 Morning Lane,16,Comprador
24,Fanchon,Tick,ftickn,ftickn@wiley.com,68 Kropf Junction,16,Comprador
25,Shane,Aireton,sairetono,sairetono@buzzfeed.com,8 Rusk Crossing,16,Vendedor
26,Lenore,Hastings,lhastingsp,lhastingsp@uiuc.edu,8977 Muir Court,16,Vendedor
27,Page,Vandenhoff,pvandenhoffq,pvandenhoffq@chicagotribune.com,65 Namekagon Pass,16,Vendedor
28,Riki,Dunkerton,rdunkertonr,rdunkertonr@disqus.com,470 Reindahl Junction,16,Vendedor
29,Tye,Este,testes,testes@bloglines.com,8 Hovde Lane,16,Comprador
30,Minne,Grabiec,mgrabiect,mgrabiect@eepurl.com,3 Rigney Way,16,Comprador
31,Ashley,Toor,atooru,atooru@sciencedaily.com,327 Oxford Parkway,16,Comprador
32,Kamillah,Guiducci,kguiducciv,kguiducciv@webmd.com,02 Sheridan Center,16,Vendedor
33,Guillemette,Mouget,gmougetw,gmougetw@simplemachines.org,342 Brickson Park Road,16,Vendedor
34,Catharine,Segebrecht,csegebrechtx,csegebrechtx@hhs.gov,96 Green Ridge Lane,16,Comprador
35,Baird,Shippard,bshippardy,bshippardy@google.com.au,4 Miller Trail,16,Vendedor
36,Melodee,Fresson,mfressonz,mfressonz@blogspot.com,8 Elmside Center,16,Comprador
37,Vincenz,Bottrell,vbottrell10,vbottrell10@ucsd.edu,64019 Nova Point,16,Vendedor
38,Pavia,Jennins,pjennins11,pjennins11@dropbox.com,5333 Kinsman Trail,16,Vendedor
39,Vivyan,Chuney,vchuney12,vchuney12@geocities.jp,6 Pennsylvania Trail,16,Vendedor
40,Eimile,Hamnett,ehamnett13,ehamnett13@nydailynews.com,4 Barby Trail,16,Comprador
41,Reg,Simmans,rsimmans14,rsimmans14@webnode.com,5557 Kedzie Avenue,16,Comprador
42,Modesty,Jurewicz,mjurewicz15,mjurewicz15@npr.org,46173 Mayer Park,16,Vendedor
43,Errick,Jankowski,ejankowski16,ejankowski16@deliciousdays.com,1 Eastlawn Lane,16,Vendedor
44,Jessika,Hazeldene,jhazeldene17,jhazeldene17@cargocollective.com,5 Meadow Valley Crossing,16,Comprador
45,Alaric,Ackers,aackers18,aackers18@pcworld.com,25 Spaight Center,16,Comprador
46,Pepe,Oakenford,poakenford19,poakenford19@eepurl.com,62897 Russell Trail,16,Vendedor
47,Milt,Asplin,masplin1a,masplin1a@ed.gov,84 Maryland Road,16,Vendedor
48,Francesco,Wanjek,fwanjek1b,fwanjek1b@msu.edu,56367 Spenser Trail,16,Comprador
49,Ardelia,Densun,adensun1c,adensun1c@skyrock.com,8273 Forest Street,16,Comprador
50,Cybill,Goldring,cgoldring1d,cgoldring1d@foxnews.com,4 Messerschmidt Drive,16,Comprador
